R(age 1),Low,High,SSB,Low,High,Fbar(3-7),Low,High,TSB,Low,High,Catch,Low,High
17348,11287,26663,48367,41946,55770,0.489,0.414,0.579,66534.6753064581,57809.6289167819,76576.5686631264,21714.5323393538,18766.087904971,25126.2232759733
15799,10346,24127,53273,47037,60336,0.71,0.61,0.825,74407.7302809901,65751.2012590309,84203.9418224033,31663.6133720131,27862.1381096464,35983.757162743
23801,15521,36499,45526,40157,51612,0.621,0.53,0.728,64818.6687297894,56962.4100392538,73758.4630461893,24243.1407727704,21424.1443678524,27433.0617100523
24729,15999,38223,42476,37397,48244,0.56,0.475,0.661,66813.5647645511,57930.2958939408,77059.0304720639,22129.4698283759,19516.8917555337,25091.7738858776
20838,13278,32702,48482,42306,55559,0.501,0.425,0.592,76962.4092523531,66056.156811254,89669.3468687772,23026.1699919163,20208.8124032911,26236.3019615286
10801,6828,17086,54574,47207,63091,0.495,0.42,0.584,80271.5270361004,68771.9891619164,93693.9316607059,21866.0251590983,19180.4442530437,24927.6320167844
21172,13341,33598,54203,47011,62495,0.506,0.43,0.596,70644.9154845945,61058.9475436113,81735.8353623912,21104.7918808584,18538.9041516809,24025.8127821411
25759,16237,40865,55313,47774,64043,0.506,0.429,0.597,76959.8837512078,65932.3691300693,89831.8046984639,19834.4837265563,17464.0245127818,22526.6944862046
21610,13638,34242,67274,58294,77637,0.471,0.397,0.559,96547.6973572199,82590.003848939,112864.238171374,23586.6696987092,20837.8576657348,26698.0894293573
11776,7400,18739,76878,66614,88724,0.447,0.377,0.53,104449.288337146,89813.1215564878,121470.600788268,27164.7507758859,23975.3486566456,30778.4339357856
9510,5921,15274,79339,68540,91839,0.502,0.423,0.597,101730.420894709,87549.3988393949,118208.447717609,30195.8112783205,26673.8057973,34182.8618564899
12612,7816,20349,77417,66600,89990,0.394,0.328,0.473,93057.4903608882,80094.1156202991,108119.010306821,24432.997059718,21601.7219758473,27635.359161999
23410,14577,37595,59294,51014,68919,0.398,0.328,0.482,72309.7838681133,62271.4609864608,83966.3107340631,18926.0466790005,16706.9950019452,21439.8365986223
16456,10288,26324,53714,46188,62466,0.33,0.271,0.402,71627.8911531725,61279.2946287486,83724.1163125884,15085.5022735923,13344.9882518512,17053.0220448107
39148,24578,62357,74725,64032,87204,0.327,0.271,0.394,101457.175650734,86226.0415926016,119378.766564033,20786.9977493515,18441.2222783381,23431.1624744695
37056,23399,58684,90084,77658,104499,0.332,0.277,0.398,132897.563709176,112813.86201939,156556.66886751,24907.5251621453,22107.4326651752,28062.2729513122
24976,15747,39612,104755,91174,120358,0.422,0.357,0.498,145407.809857853,125240.087598266,168823.190506536,36081.9398869203,31880.1797282633,40837.4857701674
11013,6902,17572,113498,98935,130205,0.503,0.429,0.589,150479.643207823,130340.965776782,173729.900534367,41858.687110321,36989.2322371244,47369.1823438606
14088,8840,22452,108766,94611,125039,0.623,0.53,0.731,131993.69144056,114756.239558858,151820.368522705,47192.8251725347,41306.9764854109,53917.3509480181
16695,10478,26599,75310,65167,87031,0.459,0.387,0.545,93391.6547190086,81073.7161072353,107581.119873894,27253.6538512383,23837.262900587,31159.6868877434
26421,16594,42067,64170,56013,73516,0.459,0.386,0.544,81638.1827114363,71213.3051533816,93589.1525055747,23265.2226474579,20592.6981870763,26284.587863065
17387,10939,27637,56472,49660,64219,0.435,0.368,0.515,81564.7372120451,70296.2845253155,94639.5161763369,19769.4511525751,17656.4418706339,22135.3317807527
27800,17575,43974,60128,52531,68823,0.463,0.393,0.545,84244.5304614502,72627.9430330667,97719.1507329205,21611.7093233183,19213.1625727972,24309.6875959867
30849,19656,48415,62475,54730,71316,0.45,0.384,0.527,94894.0269288484,81227.4759899366,110859.979791673,21544.2243778471,19081.2703090978,24325.0892903979
54416,34408,86059,97371,85149,111346,0.692,0.598,0.802,121940.780357518,105245.71947749,141284.168021492,38377.7694689833,33880.2516370093,43472.3214335736
22727,14351,35991,114644,99331,132317,0.545,0.468,0.635,151947.438540803,127848.361238074,180589.128053958,37787.2389101949,33284.9855054759,42898.4841895527
10078,6301,16118,83333,72299,96050,0.726,0.629,0.838,131342.67995303,112133.487696185,153842.531180193,42417.0988524695,36957.252578934,48683.5505755571
11530,7243,18356,74051,63307,86619,0.607,0.519,0.709,98917.0790073622,85256.464056221,114766.529760095,33636.6282660206,28906.4821316449,39140.7974153954
11267,7148,17759,62112,53862,71625,0.484,0.413,0.568,77651.1953585441,67737.1226565107,89016.3016103729,22912.3344116072,19935.7621310552,26333.33327004
17823,11311,28083,53751,47693,60580,0.622,0.537,0.72,65830.4453895342,58231.5871846101,74420.9071005672,23079.9740676947,20366.1696103984,26155.3946154649
4981,3114,7967,38187,34151,42700,0.801,0.696,0.921,59361.4335790673,51879.7927724874,67922.0098664451,22580.4269613586,20137.56103913,25319.6343274388
6385,3957,10302,29684,25947,33961,0.675,0.578,0.789,38578.6903312884,33404.1576010999,44554.7936113329,13590.5608521565,12047.2334250292,15331.5983645199
11139,6862,18080,21823,18727,25432,0.503,0.421,0.602,27240.7926120833,23412.1700700962,31695.5147648765,8131.63780768001,7108.53639518225,9301.98985547934
11593,7180,18718,17803,15182,20876,0.399,0.327,0.486,31026.4370482317,25890.3821958826,37181.3667571494,6138.77099374209,5411.34082082231,6963.98740375083
27829,17551,44125,30273,25524,35906,0.267,0.217,0.327,43666.1140271355,36248.5637668418,52601.5189593517,5929.77606103132,5244.45702259685,6704.64911476558
45807,28983,72399,64544,54302,76717,0.251,0.208,0.303,74320.1350529375,61797.1471011983,89380.8651917487,9103.75249413785,8043.43753599669,10303.8419958652
11958,7732,18493,63136,55180,72238,0.358,0.305,0.42,135102.772111277,113162.158015761,161297.374954703,22139.1105615182,19630.822736706,24967.8896819059
6205,4023,9570,83921,73731,95518,0.679,0.593,0.776,134570.737987099,116400.416200354,155577.480850429,39234.8858512017,34597.8167269682,44493.4511303114
7815,5112,11946,77661,67426,89449,0.806,0.709,0.916,90294.3868846525,78647.9537818472,103665.459949412,33791.3040006306,29291.7063989449,38982.0999333846
15504,10225,23508,52059,45268,59870,0.669,0.582,0.767,62199.5694829216,54603.0002424308,70853.0012395629,22981.3385500436,19792.8188063889,26683.5121726694
24940,16495,37708,41221,36232,46898,0.584,0.503,0.678,60202.560735025,53060.7265554884,68305.6670033382,19393.7813324356,17020.8572466686,22097.5212305446
36745,24315,55529,41993,37272,47312,0.43,0.367,0.503,88301.5870163073,76347.6264141504,102127.212538376,20677.762275479,18392.0992536686,23247.4741911768
15220,10135,22855,57540,51084,64813,0.464,0.4,0.538,113590.184052871,97853.116534359,131858.139731652,27558.7348372783,24402.8929574997,31122.6979175845
7339,4846,11113,57342,50967,64514,0.774,0.679,0.882,102212.27265746,89487.478657012,116746.486084893,38387.5745099141,33734.7447275628,43682.1410286293
4608,2994,7092,42930,37626,48982,0.749,0.654,0.858,62337.8864492608,54885.0727398711,70802.7136153898,24789.1383202708,21609.3480440272,28436.8310145
6993,4614,10598,27117,23903,30763,0.64,0.555,0.738,36490.274194221,32342.887231789,41169.4880925997,12549.4945491204,10979.3750685862,14344.1509607416
9214,6097,13926,22768,20240,25611,0.611,0.528,0.707,30879.7534611929,27459.9744222837,34725.4210495639,10329.6521907452,9125.87294346867,11692.2200257162
5910,3908,8938,19241,17126,21617,0.603,0.519,0.701,28512.2793170653,25262.7061906548,32179.8490517646,9477.53995401181,8448.87510808439,10631.4464861649
6156,4039,9382,16451,14605,18529,0.487,0.417,0.569,25736.5443787179,22716.3528303112,29158.2773654534,7400.67219280867,6619.39211330577,8274.16596084666
10021,6657,15086,19519,17300,22023,0.486,0.418,0.567,26982.4093432038,23713.3255337481,30702.1641873078,7092.45973622719,6347.15055000377,7925.28627038381
15337,10145,23184,19716,17557,22142,0.542,0.468,0.628,29536.8584926314,26132.8026332797,33384.3262759238,9082.86509978764,8049.46932914544,10248.9288482945
5060,3325,7700,21423,19103,24025,0.682,0.589,0.789,39372.2759998993,34159.3748187509,45380.6934593347,12472.9870013537,11056.7700564638,14070.6014452194
1386,884,2173,19341,16996,22010,0.567,0.483,0.664,30966.365995886,26974.5938055143,35548.8512600007,9654.21982554524,8472.66424956311,11000.5492599045
3253,2108,5020,17570,15339,20124,0.588,0.499,0.693,21576.9669639447,18868.8979287442,24673.6987566155,7225.21468578888,6331.43287105427,8245.16792942742
8339,5423,12824,17777,15436,20474,0.35,0.293,0.418,20381.0708616545,17763.0221021879,23384.987480065,4653.57203756894,4050.41634530029,5346.54486420161
3318,2141,5143,18621,16448,21082,0.393,0.333,0.464,25756.0223988323,22351.6163829571,29678.9582660771,5422.38421043492,4808.18523472902,6115.04114134466
5228,3402,8035,18325,16243,20673,0.49,0.417,0.575,26971.1155419301,23580.3328629067,30849.482821358,7281.30241530662,6482.35175940603,8178.72383833856
6741,4405,10316,22227,19337,25549,0.405,0.343,0.478,28202.1310632666,24391.10250905,32608.6201398464,5907.19953039434,5238.54159566686,6661.2063022951
11754,7662,18031,24456,21292,28092,0.32,0.271,0.378,32839.3212324988,28485.7544119711,37858.2572683432,5430.96146101692,4799.06007494294,6146.06650686733
8294,5386,12773,29720,26484,33352,0.568,0.492,0.655,47215.4082396787,41289.4187549666,53991.9146953688,12696.1536129352,11278.2265667012,14292.3460182264
1953,1233,3093,28922,25812,32406,1.021,0.901,1.157,41932.693921037,37072.5127813959,47430.0414931078,18796.1453575712,16561.8171255394,21331.9032341047
1847,1112,3066,16065,14202,18173,0.952,0.816,1.111,22553.7123305186,19762.5250015527,25739.1168308615,10055.6812021847,8856.01040374401,11417.8642334501
4010,2044,7866,11245,9428,13412,0.659,0.522,0.833,14291.1763647701,11927.4008312078,17123.4055750504,5302.59545563214,4594.30485232405,6120.081159148
2724,814,9118,10190,7752,13394,0.58,0.4,0.841,14448.3891762656,10656.0392079438,19590.3886721068,4096.18341883831,3564.78594887296,4706.79553875335
